1-8	Acyclovir
16249-5	Oxycodone; Urine
16250-3	Codeine; Urine
16251-1	Morphine; Urine
16252-9	Hydrocodone; Urine
1625-3	Retinol 6h Post 5000 Units
16253-7	Meperidine; Urine
16254-5	Phencyclidine; Urine
16255-2	Troponin I Cardiac
16257-8	Sodium Urate Crystals; Calculus
16258-6	Ammonium Urate Crystals; Calculus
16259-4	Urate Dihydrate Crystals; Calculus
16260-2	Triamterene Crystals; Calculus
1626-1	Retinol Pre 5000 Units
16261-0	Calcium Bilirubinate Crystals; Calculus
16262-8	Newberyite Crystals; Calculus
16263-6	Calcium Oxalate Dihydrate Crystals; Calculus
16264-4	Calcium Oxalate Monohydrate Crystals; Calculus
16265-1	Magnesium Ammonium Phosphate Crystals; Calculus
16266-9	Calcium Hydrogen Phosphate Crystals; Calculus
16267-7	Calcium Carbonate Crystals; Calculus
16268-5	Calcium Phosphate Crystals; Calculus
16269-3	Urate Crystals; Calculus
16270-1	Calcium 1h Post XXX Challenge
16271-9	Calcium 30m Post XXX Challenge
16272-7	Calcium 2h Post XXX Challenge
16273-5	Calcium; RBC
16275-0	Bartonella species DNA
16276-8	Bartonella henselae DNA
16277-6	Bartonella quintana DNA
16278-4	Mycobacterium tuberculosis DNA
1627-9	Growth Hormone [GH] 1.5h Post Dose Insulin IV
16279-2	Toxoplasma gondii DNA
162-8	Cephalothin
16280-0	Human papilloma virus DNA
16281-8	Trazodone; Urine
16282-6	Acetaminophen; Urine
16283-4	Escherichia coli Verotoxin
16284-2	Polio virus antibody
16285-9	Creatinine/Protein Ratio; Urine
1628-7	Growth Hormone [GH] 1h Post 1 g/kg Glucose PO
16290-9	Neutrophils; Stool
16291-7	Herpes simplex virus 1
16292-5	1,4-Dioxane; Urine
16293-3	11-Deoxycorticosteroids
16294-1	11-Deoxycorticosterone Post XXX Challenge
1629-5	Growth Hormone [GH] 1h Post Dose Insulin IV
16295-8	11-Deoxycortisol Post XXX Challenge
16296-6	11-Hydroxyandrosterone
16297-4	17-Hydroxypregnenolone; Urine
16298-2	17-Hydroxypregnenolone 45m Post XXX Challenge
16299-0	17-Hydroxypregnenolone 6h Post XXX Challenge
16300-6	17-Ketogenic Steroids; 72h Urine
16301-4	17-Ketogenic Steroids Baseline; 24h Urine
16302-2	1-Methylhistidine; Urine
1630-3	Growth Hormone [GH] 2h Post 1 g/kg Glucose PO
16303-0	2-Hexanol; Urine
16304-8	2-Hexanol/Creatinine Ratio; Urine
16305-5	2-Methoxyethanol; Blood
16306-3	3-Methylhistidine; Urine
16307-1	Acetate; Dialysis Fluid
16308-9	Acetazolamide
16309-7	Acetazolamide; Urine
16310-5	Acetone; Fluid
1631-1	Growth Hormone [GH] 30m Post Dose Insulin IV
16311-3	Acetone; Fluid
16312-1	Acetonitrile
16313-9	Acetylene; Blood
16314-7	Acetylsalicylate; Urine
16315-4	Acid Phosphatase; Blood
16316-2	Acid Phosphatase Tartrate Resistant; Blood
16317-0	Acid Phosphatase Prostatic; Vagina
16318-8	Acrylamide; Urine
16319-6	Acrylamide
16320-4	Acyclovir; Isolate+Ser
16322-0	Biperiden
16323-8	Alanine; Urine
16324-6	Alanine Aminotransferase; RBC
16325-3	Alanine Aminotransferase/Aspartate Aminotransferase Ratio
16327-9	Allyl Alcohol; Blood
16328-7	Benzyl Alcohol; Blood
1632-9	Growth Hormone [GH] 3h Post 1 g/kg Glucose PO
16329-5	Aldosterone 6th Specimen Post XXX Challenge
16330-3	Aldosterone 7th Specimen Post XXX Challenge
16331-1	Aldosterone 8th Specimen Post XXX Challenge
16332-9	Aldosterone 9th Specimen Post XXX Challenge
16333-7	Aldrin; Blood
16334-5	Alfentanil; Urine
16335-2	Hydrocarbons Aliphatic; Blood
1633-7	Growth Hormone [GH] 45m Post Dose Insulin IV
16337-8	Alkaline Phosphatase; Urine
16338-6	Alpha Aminoadipate; Urine
16339-4	Alpha Aminoisobutyrate; Urine
16340-2	Alpha Aminoisobutyrate; Urine
16341-0	Alpha Aminoisobutyrate
16342-8	Alpha Aminoisobutyrate
16343-6	Alpha aminoisobutyrate; CSF
16344-4	Alpha Aminoisobutyrate; Amniotic Fluid
1634-5	Growth Hormone [GH] 52h Post 250 ug L-Dopa TID 2d PO
16345-1	Alpha Aminobutyrate; Urine
16346-9	Alpha Chlordane; Urine
16347-7	Alpha Chlordane; Blood
16348-5	Alpha Hydroxyalprazolam; Urine
16349-3	Aluminum; Fluid
16350-1	Amantadine; Isolate+Ser
16351-9	Amiloride
1635-2	Growth Hormone [GH] Pre 1 g/kg Glucose PO
16352-7	Amiloride; Urine
16353-5	Amino Beta Guanidinopropionate; Urine
16355-0	Amino Beta Guanidinopropionate
163-6	Cephalothin; Isolate+Ser
1636-0	Growth Hormone [GH] Pre 250 ug L-Dopa TID 2d PO
16360-0	Amitriptyline Peak
16361-8	Amitriptyline Trough
16362-6	Ammonia
16363-4	Ammonia; Tissue Unspecified
16364-2	Amobarbital; Gastric Fluid
16365-9	Amoxicillin + Clavulanate
16366-7	Diethylpropion
16367-5	Amphetamine/Methamphetamine Ratio; Urine
16369-1	Amphetamines; Urine
16370-9	Amphotericin B; Urine
16373-3	Amyl Ether; Blood
16374-1	Amyl Nitrite
1637-8	Growth Hormone [GH] Pre Dose Insulin IV
16378-2	Androstenedione 2nd Specimen Post XXX Challenge
16379-0	Androstenedione 3rd Specimen Post XXX Challenge
16380-8	Androstenedione 4th Specimen Post XXX Challenge
16381-6	Androstenedione 5th Specimen Post XXX Challenge
16382-4	Androstenedione 6th Specimen Post XXX Challenge
16383-2	Androstenedione 7th Specimen Post XXX Challenge
16384-0	Androstenedione 8th Specimen Post XXX Challenge
16385-7	Androstenedione 9th Specimen Post XXX Challenge
1638-6	Testosterone 96h Post 5000 U Human Chorionic Gonadotropin [hCG] IM
16387-3	Rifabutin + Ethambutol
16388-1	Anticonvulsants; Urine
16389-9	Antidepressants
16390-7	Antidiuretics; Urine
16391-5	Antimony; Urine
16392-3	Nuclear antibody
16393-1	Nuclear antibody
1639-4	Testosterone Pre 5000 U Human Chorionic Gonadotropin [hCG] IM
16394-9	Nuclear antibody; Fluid
16395-6	Antipsychotics; Urine
16400-4	Appearance
16401-2	Arginine; Urine
1640-2	Thyroid Stimulating Hormone [TSH] 30m Post Dose Thyroid Releasing Hormone [TRH] IV
16402-0	Aromatic Solvents; Blood
16403-8	Arsenic
16404-6	Arsenic; Urine
16405-3	Arylamidase; Urine
16406-1	Arylamidase; Urine
16407-9	Asbestos Identified; Sputum
16408-7	Ascorbate; Urine
16409-5	Ascorbate Post Dose
1641-0	Thyroid Stimulating Hormone [TSH] 1h Post Dose Thyroid Releasing Hormone [TRH] IV
16410-3	Asparagine; Urine
16411-1	Aspartate; Urine
16412-9	Aspartate Aminotransferase; RBC
16414-5	Aspergillus amstelodami antibody
16415-2	Aspergillus flavus antibody
16416-0	Aspergillus terreus antibody
16417-8	Aspergillus versicolor antibody
16418-6	Azatadine; Urine
16419-4	Azathioprine
16420-2	Azithromycin
16421-0	Azithromycin + Ethambutol
16422-8	Azlocillin; Urine
16423-6	Aztreonam; Urine
16425-1	Babesia species antibody IgM
16426-9	Babesia species antibody IgM
16427-7	Babesia microti antibody
1642-8	Thyroid Stimulating Hormone [TSH] Baseline
16428-5	Bacitracin
16429-3	Barbiturates; Urine
16430-1	Barbiturates; Urine
16431-9	Barium; Urine
16432-7	Barium; Blood
16433-5	Basement Membrane antibody
16434-3	Basement Membrane antibody
1643-6	Thyroid Stimulating Hormone [TSH] Pre Dose Thyroid Releasing Hormone [TRH] IV
16437-6	Bendroflumethiazide; Urine
16438-4	Benzaldehyde; Urine
16439-2	Benzene; Blood
164-4	Cephapirin
16440-0	Benzene Ring IgE
16441-8	Benzene Ring antibody IgG
16442-6	Benzene Ring antibody IgM
16443-4	Benzonatate
1644-4	Triglyceride Post 12h Fasting
16444-2	Benzophenone
16446-7	Benzoylecgonine
16447-5	Cocaine
16448-3	Cocaine; Urine
16449-1	Benzthiazide
16450-9	Benzylhydrazine
1645-1	Xylose 2h Post 25 g Xylose PO; Blood
16451-7	Beryllium; Urine
16452-5	Beta Alanine; Urine
16453-3	Beta Aminoisobutyrate; Urine
16454-1	Beta Galactosidase; Blood
16455-8	Beta Hydroxybutyrate; CSF
16456-6	Beta Hydroxybutyrate; Urine
16457-4	Beta-N-Acetylhexosaminidase A; WBC
16458-2	Bethanechol
16459-0	Bicarbonate; Fluid
16460-8	Bicarbonate; CSF
16461-6	Bicarbonate; RBC
16462-4	Bicarbonate; Amniotic Fluid
16463-2	Bile Acid Dihydroxy
16464-0	Bile Acid; Breath
16465-7	Bile Acid; Urine
16466-5	Bile Acid Trihydroxy
16467-3	Bismuth; Blood
16468-1	Bismuth; Urine
1646-9	Xylose Post Dose PO; 5h Urine
16469-9	Bismuth/Creatinine Ratio; Urine
16470-7	Blastomyces dermatitidis antibody
16471-5	Blastomyces dermatitidis antibody
16472-3	Blastomyces dermatitidis rRNA
16473-1	Bordetella parapertussis antibody
16474-9	Bordetella pertussis antibody
16475-6	Borrelia burgdorferi antibody
16476-4	Borrelia burgdorferi antibody
1647-7	Tuberculosis reaction wheal 3D post 25 TU ID; Skin
16477-2	Borrelia burgdorferi antibody
16478-0	Borrelia burgdorferi antibody IgA
16479-8	Borrelia burgdorferi antibody IgA
16480-6	Borrelia burgdorferi antibody IgG
16481-4	Borrelia burgdorferi antibody IgG
16482-2	Borrelia burgdorferi antibody IgM
16483-0	Borrelia hermsii
16484-8	Boysenberrry IgE
1648-5	Tuberculosis reaction wheal 3D post 5 TU ID; Skin
16485-5	Bromodiphenhydramine; Urine
16486-3	Brucella abortus antibody IgA+IgG+IgM
16487-1	Brucella abortus antibody IgG
16488-9	Brucella abortus antibody IgG
16489-7	Brucella melitensis antibody
16490-5	Brucella suis antibody
16491-3	Brush Border antibody
16492-1	Bufotenine; Urine
1649-3	Calcitriol
16493-9	Bufotenine
16494-7	Bumetanide; Urine
16495-4	Buprenorphine
16496-2	Buprenorphine; Urine
16497-0	Butabarbital; Gastric Fluid
16498-8	Butalbital; Gastric Fluid
16499-6	Butorphanol; Urine
16500-1	Butyrate; Stool
1650-1	1,4-Alpha Glucan Branching Enzyme; WBC
16501-9	C Peptide 7th Specimen Post XXX Challenge
16502-7	C Peptide 8th Specimen Post XXX Challenge
16503-5	C Reactive Protein; Fluid
16504-3	Calcitonin 1.5m Post XXX Challenge
16505-0	Calcitonin 10m Post XXX Challenge
16506-8	Calcitonin 3h Post XXX Challenge
16507-6	Calcitonin 4h Post XXX Challenge
16508-4	Calcitonin 5m Post XXX Challenge
16509-2	Calcitonin 7th Specimen Post XXX Challenge
165-1	Cephapirin
16510-0	Calcitonin 8th Specimen Post XXX Challenge
16511-8	Calcitonin 9th Specimen Post XXX Challenge
16512-6	Calcium Ionized 2nd Specimen Post XXX Challenge
16513-4	Calcium Ionized 3rd Specimen Post XXX Challenge
16514-2	Calcium Ionized 4th Specimen Post XXX Challenge
16515-9	Calcium Ionized 5th Specimen Post XXX Challenge
16516-7	Calcium Ionized 6th Specimen Post XXX Challenge
16517-5	Calcium Ionized 7th Specimen Post XXX Challenge
16518-3	Calcium; 2h Urine
1651-9	1-Methylhistidine
16519-1	Calcium 10m Post XXX Challenge
16520-9	Calcium 2nd Specimen Post XXX Challenge; Urine
16521-7	Calcium 3rd Specimen Post XXX Challenge; Urine
16522-5	Calcium 4th Specimen Post XXX Challenge; Urine
16523-3	Calcium 5m Post XXX Challenge
16524-1	Calcium 6h Post XXX Challenge
16525-8	Calcium/Phosphate Ratio
16526-6	Calcium/Protein Ratio
1652-7	1-Methylhistidine
16527-4	Calcium/Sodium Ratio
16528-2	Campylobacter coli rRNA
16529-0	Campylobacter jejuni rRNA
16530-8	Campylobacter jejuni rRNA
16531-6	Campylobacter lari rRNA
16532-4	Campylobacter lari rRNA
16533-2	Helicobacter pylori antibody
16534-0	Campylobacter species rRNA
1653-5	1-Methylhistidine; Urine
16535-7	Canary Droppings IgE
16536-5	Canary Serum Proteins antibody
16537-3	Candida albicans antibody
16538-1	Candida species antibody IgA
16539-9	Candida species antigen
16542-3	Cannabinoids
1654-3	1-Naphthalene; Urine
16543-1	Cannabinoids; Unknown Substance
16544-9	Canrenone; Urine
16545-6	Capreomycin
16546-4	Captopril
16547-2	Carbamate Pesticides; Urine
16548-0	Carbamazepine; Urine
16549-8	Carbinoxamine; Urine
16550-6	Carbohydrates; Urine
16551-4	Carbon Dioxide; Blood Capillary
16553-0	Carnitine; Tissue Unspecified
16555-5	Carnitine; CSF
16556-3	Carnitine; Amniotic Fluid
16557-1	Carnosine; Urine
16558-9	Catecholamines 2h Post XXX Challenge
16559-7	Catecholamines 3h Post XXX Challenge
16560-5	Catecholamines 5th Specimen Post XXX Challenge
16561-3	Catecholamines 6th Specimen Post XXX Challenge
16562-1	Cathartic Laxatives; Urine
16563-9	Cathepsin D
16564-7	Cefaclor
16565-4	Cefadroxil
16566-2	Cefazolin; Urine
16567-0	Cefixime
1656-8	11-Deoxycorticosterone
16568-8	Cefuroxime IgE
16569-6	Ceftriaxone IgE
16570-4	Centromere antibody
16571-2	Cephadrine
16572-0	Cephaloridine
1657-6	11-Deoxycortisol
16581-1	Chlamydophila pneumoniae antibody IgA
16582-9	Chlamydophila pneumoniae antibody IgG
16583-7	Chlamydophila pneumoniae antibody IgM
1658-4	11-Hydroxyandrostenedione
16584-5	Chlamydophila pneumoniae rRNA
16585-2	Chlamydophila pneumoniae rRNA
16586-0	Chlamydophila psittaci antibody IgA
16587-8	Chlamydophila psittaci antibody IgG
16588-6	Chlamydophila psittaci antibody IgM
16589-4	Chlamydia species antibody
16590-2	Chlamydia species antibody
16591-0	Chlamydia species antibody IgG
1659-2	11-Hydroxyandrosterone; Urine
16592-8	Chlamydia species antibody IgM
16593-6	Chlamydia species antigen
16594-4	Chlamydia trachomatis antibody IgA
16595-1	Chlamydia trachomatis antibody IgG
16596-9	Chlamydia trachomatis antibody IgM
16597-7	Chlamydia trachomatis B antibody IgG
16598-5	Chlamydia trachomatis C antibody IgG
16599-3	Chlamydia trachomatis DNA
16-6	Amoxicillin
1660-0	11-Hydroxyetiocholanolone
16600-9	Chlamydia trachomatis rRNA
16601-7	Chlamydia trachomatis rRNA
16603-3	Chloramphenicol Peak
16604-1	Chloramphenicol Trough
16605-8	Chlorocycline; Urine
16606-6	Chlorine; Dialysis Fluid
16608-2	Chlorpheniramine; Urine
16609-0	Chlorphentermine; Blood
16610-8	Chlorphentermine; Urine
16611-6	Chlorpyrifos; Urine
16612-4	Chlorthalidone
16613-2	Cholesterol Crystals; Calculus
16614-0	Cholesterol Crystals; Fluid
16615-7	Cholesterol Total/Cholesterol In LDL Ratio
16616-5	Cholesterol In HDL/Cholesterol In LDL Ratio
16617-3	Choriogonadotropin Intact; Semen
1661-8	11-Ketoandrosterone
16618-1	Cladosporium herbarum antibody
16619-9	Clarithromycin
16620-7	Clarithromycin + Ethambutol
16621-5	Clindamycin Peak
16622-3	Clindamycin Trough
16623-1	Clofazimine
16624-9	Clomipramine; Milk
1662-6	11-Ketoetiocholanolone
16626-4	Clostridium tetani antibody 1st Specimen
16627-2	Clostridium tetani antibody 2nd Specimen
16628-0	Cloxacillin
16630-6	APTT; Blood control
16631-4	APTT; Blood
16632-2	Cocaethylene; Urine
16633-0	Cocaine; Blood
1663-4	11-Oxycorticosterone
16634-8	Coccidioides immitis antibody
16635-5	Coccidioides immitis antibody IgA
16636-3	Coccidioides immitis antibody IgA
16637-1	Coccidioides immitis antibody IgE
16638-9	Coccidioides immitis antibody IgG
16639-7	Coccidioides immitis antibody IgM
16640-5	Coccidioides reaction wheal; Skin
16641-3	Cockatiel Droppings antibody
1664-2	17-Hydroxycorticosteroids; Amniotic Fluid
16642-1	Cockatiel Droppings IgG
16643-9	Cockatoo Droppings antibody
16644-7	Codeine Free
16645-4	Colistin
16647-0	Collagen antibody
16648-8	Copper; Fluid
16649-6	Coproporphyrinogen Oxidase; RBC
16650-4	Cilantro IgE
16651-2	Corticosterone Post XXX Challenge
16652-0	Adrenocorticotrophic Hormone[ACTH]; Amniotic Fluid
16653-8	Adrenocorticotrophic Hormone[ACTH] Canine
16654-6	Corticotropin [ACTH] 1.5h Post XXX Challenge
16655-3	Corticotropin [ACTH] 10m Post XXX Challenge
16656-1	Corticotropin [ACTH] 15m Post XXX Challenge
16657-9	Corticotropin [ACTH] 1h Post XXX Challenge
16658-7	Corticotropin [ACTH] 1m Post XXX Challenge
1665-9	17-Hydroxycorticosteroids
16659-5	Corticotropin [ACTH] 2.5h Post XXX Challenge
16660-3	Corticotropin [ACTH] 20m Post XXX Challenge
16661-1	Corticotropin [ACTH] 2h Post XXX Challenge
16662-9	Corticotropin [ACTH] 30m Post XXX Challenge
16663-7	Corticotropin [ACTH] 3h Post XXX Challenge
16664-5	Corticotropin [ACTH] 45m Post XXX Challenge
16665-2	Corticotropin [ACTH] 5m Post XXX Challenge
16666-0	Corticotropin [ACTH] 9th Specimen Post XXX Challenge
1666-7	17-Hydroxycorticosteroids; Urine
16667-8	Cortisol Free; 48h Urine
16668-6	Cortisol Free; 72h Urine
16669-4	Cortisol 10m Post XXX Challenge
16670-2	Cortisol 15m Post XXX Challenge
16671-0	Cortisol 1m Post XXX Challenge
16672-8	Cortisol 40m Post XXX Challenge
16673-6	Cortisol 50m Post XXX Challenge
16674-4	Cortisol 70m Post XXX Challenge
1667-5	17-Hydroxyketosteroids; Urine
16675-1	Cortisol 80m Post XXX Challenge
16676-9	Corynebacterium diphtheriae
16677-7	Coxiella burnetii antibody IgG
16678-5	Coxiella burnetii antibody IgM
16679-3	Coxsackievirus A antibody
16680-1	Coxsackievirus A antibody IgG
16681-9	Coxsackievirus A antibody IgM
16682-7	Coxsackievirus A2 antibody
1668-3	17-Hydroxyprogesterone
16683-5	Coxsackievirus A4 antibody
16684-3	Coxsackievirus B antibody
16685-0	Coxsackievirus B antibody IgG
16686-8	Coxsackievirus B antibody IgM
16687-6	Creatine; Vitreous Fluid
16688-4	Creatine Kinase; Fluid
16689-2	Creatinine; 48h Urine
166-9	Cephapirin
16690-0	Creatinine; 72h Urine
16691-8	Cresols
16692-6	Cryptococcus species antigen
16693-4	Cryptococcus species antigen
16694-2	Cumene; Blood
16695-9	Cobalamins; Blood
16696-7	Cobalamins Post XXX Challenge; Urine
16697-5	Cyclohexane; Blood
16698-3	Cyclohexanol; Blood
16699-1	Cyclohexanol; Urine
16700-7	Cyclohexanol/Creatinine Ratio; Urine
16701-5	Cyclopropane; Blood
16702-3	Cycloserine; Urine
16703-1	Cyclosporine
16704-9	Cyproheptadine
16705-6	Cystathionine; Urine
16706-4	Taenia solium Larva antibody IgM
16707-2	Taenia solium Larva antibody IgM
16708-0	Taenia solium Larva antibody
1670-9	17-Hydroxyprogesterone; Urine
16709-8	Cystine; Urine
16710-6	Cystine Crystals; Calculus
16711-4	Cystine + Homocystine; Urine
16712-2	Cytomegalovirus antibody
16713-0	Cytomegalovirus antibody
16714-8	Cytomegalovirus antibody
16715-5	Cytomegalovirus antibody IgG
16716-3	Cytomegalovirus antibody IgG 2nd Specimen
1671-7	17-Ketogenic Steroids; Blood
16717-1	Cytomegalovirus antigen
16718-9	Cytomegalovirus antigen
16719-7	Cytomegalovirus inclusion bodies
16720-5	Dechlorane; Blood
16721-3	Dehydroepiandrosterone Sulfate; Saliva
16722-1	Dehydroepiandrosterone Sulfate 10th Specimen Post XXX Challenge
16723-9	Dehydroepiandrosterone Sulfate 2nd Specimen Post XXX Challenge
16724-7	Dehydroepiandrosterone Sulfate 3rd Specimen Post XXX Challenge
16725-4	Dehydroepiandrosterone Sulfate 4th Specimen Post XXX Challenge
16726-2	Dehydroepiandrosterone Sulfate 5th Specimen Post XXX Challenge
16727-0	Dehydroepiandrosterone Sulfate 6th Specimen Post XXX Challenge
16728-8	Dehydroepiandrosterone Sulfate 7th Specimen Post XXX Challenge
16729-6	Dehydroepiandrosterone Sulfate 8th Specimen Post XXX Challenge
16730-4	Dehydroepiandrosterone Sulfate 9th Specimen Post XXX Challenge
16732-0	Dehydroepiandrosterone 7th Specimen Post XXX Challenge
1673-3	17-Ketogenic Steroids; 24h Urine
16733-8	Dehydroepiandrosterone 9th Specimen Post XXX Challenge
16734-6	Dehydroepiandrosterone Baseline
16735-3	Dehydroepiandrosterone Post XXX Challenge
16736-1	Dengue virus 1 antibody
16737-9	Dengue virus 2 antibody
16738-7	Dengue virus 3 antibody
16739-5	Dengue virus 4 antibody
16740-3	Dengue virus antibody
1674-1	18-Hydroxycorticosterone
16741-1	Dermatophagoides farinae IgG; Blood
16742-9	Dermatophagoides pteronyssinus IgG; Blood
16746-0	Nortrimipramine
16747-8	Dextromoramide
16748-6	Propoxyphene
16749-4	Propoxyphene + Norpropoxyphene; Urine
16750-2	Dezocine
16751-0	Dezocine; Blood
16752-8	Diacetate; Urine
16754-4	Diamorphine; Unknown Substance
16755-1	Diamorphine; Urine
16756-9	Diamorphine
16757-7	Diazepam + Nordiazepam
1675-8	2,3-Diphosphoglycerate; RBC
16758-5	Dicamba
16759-3	Dicamba; Urine
16760-1	Dicarboxylporphyrin; Blood
16761-9	Dicarboxylporphyrin; Stool
16762-7	Dichlorobenzene; Blood
16763-5	Dichlorodiphenyldichloroethylene; Urine
16764-3	Dichlorodiphenyldichloroethylene; Blood
16765-0	Dichlorodiphenyltrichloroethane; Milk
1676-6	2,3-Diphosphoglycerate
16766-8	Dichloroethane; Blood
16768-4	Dichlorvos; Urine
16769-2	Dicloxacillin; Urine
167-7	Cephapirin; Isolate+Ser
16770-0	Dicoumarol; Urine
16771-8	Dicyclomine
16772-6	Dieldrin; Urine
16773-4	Dieldrin; Blood
1677-4	Alpha Hydroxybutyrate Dehydrogenase
16774-2	Diethylcarbamazepine
16775-9	Dihydrocodeine Free
16776-7	Diltiazem; Urine
16777-5	Dimethylacetamide; Urine
16778-3	Dinitrophenol
16779-1	Dinitrophenol; Urine
16780-9	Disopyramide; Urine
16781-7	Disulfiram; Urine
1678-2	20-Hydroxyprogesterone
16784-1	Dopamine 2nd Specimen Post XXX Challenge; Urine
16785-8	Dopamine 3rd Specimen Post XXX Challenge; Urine
16786-6	Dopamine 4th Specimen Post XXX Challenge; Urine
16787-4	Dopamine 5th Specimen Post XXX Challenge; Urine
16788-2	Dopamine 6th Specimen Post XXX Challenge; Urine
16789-0	Dopamine 7th Specimen Post XXX Challenge; Urine
1679-0	Vitamin D, 24,25 Dihydroxy
16791-6	Doxylamine
16792-4	Doxylamine; Urine
16793-2	Drugs Identified; Unknown Substance
16794-0	Echinococcus species antibody IgM
16795-7	Echovirus antibody
16796-5	Echovirus antibody
16797-3	Echovirus 1 antibody
16798-1	Echovirus 14 antibody
16800-5	Echovirus 19 antibody
16801-3	Echovirus 3 antibody
16802-1	Echovirus 30 antibody
16803-9	Echovirus 4 antibody
16804-7	Echovirus 40 antibody
16805-4	Echovirus 6 antibody
16806-2	Echovirus 6+18+30 antibody
16807-0	Echovirus 9 antibody
1680-8	3-Alpha-Androstanediol Glucuronide
16808-8	Anaplasma phagocytophilium antibody IgG
16809-6	Anaplasma phagocytophilium antibody IgM
16811-2	Eicosanoate
16812-0	Emetine
16813-8	Emetine
16814-6	Endomysial antibody
16815-3	Endomysial antibody
1681-6	Beta Hydroxybutyrate Dehydrogenase; Blood
16816-1	Enoxacin; Urine
16817-9	Entamoeba histolytica antibody
16818-7	Entamoeba histolytica antibody
16819-5	Entamoeba histolytica antibody
16820-3	Entamoeba histolytica antibody
16821-1	Epinephrine 4h Post XXX Challenge
16822-9	Epithelial Cells; Nasal
16823-7	Epstein-Barr virus Early antibody
1682-4	Beta Hydroxybutyrate Dehydrogenase
16824-5	Epstein-Barr virus Nuclear antibody
16825-2	Epstein-Barr virus Nuclear antibody IgG
16826-0	Epstein-Barr virus Capsid antibody IgG
16827-8	Epstein-Barr virus Capsid antibody IgG
16828-6	Erythrocytes; Semen
16829-4	Erythromycin; Urine
16830-2	Erythromycin + Ethambutol
1683-2	3-Hydroxyisovalerate; Urine
16832-8	Escherichia coli Enterotoxic
16833-6	Escherichia coli K1 antigen
16834-4	Escherichia coli K1 antigen
16835-1	Escherichia coli Shiga-like
16836-9	Escherichia coli Verotoxic
16838-5	Estriols; Fluid
1684-0	3-Methoxy-4-Hydroxyphenylglycol; Urine
16840-1	Ethacrynate
16841-9	Ethambutol + Rifampin
16842-7	Ethanol; Unknown Substance
16843-5	Ethanol; Fluid
16844-3	Ethinamate
16845-0	Ethionamide
16847-6	Ethoheptazine
16848-4	Ethoheptazine
16849-2	Ethyl Benzene; Urine
168-5	Cephradine
16850-0	Ethylene Oxide; Blood
16851-8	Ethylmorphine; Urine
16852-6	Etodolac
16853-4	Fat; Stool
16855-9	Fat; Stool
16856-7	Microscopic Examination
1685-7	3-Methylhistidine
16857-5	Fenclorvos; Blood
16858-3	Fentanyl; Fluid
16859-1	Fibrinogen; Platelet Poor Plasma
16860-9	Periton fld
16861-7	Fibrinopeptide A antigen; Platelet Poor Plasma
16862-5	Fibrinopeptide B antigen; Platelet Poor Plasma
16863-3	Fibrinopeptide B Beta (1-14) antigen; Platelet Poor Plasma
16864-1	Fibrinopeptide B Beta (1-42) antigen; Platelet Poor Plasma
1686-5	3-Methylhistidine
16865-8	Fibrinopeptide B Beta (15-42) antigen; Platelet Poor Plasma
16866-6	Fibrinopeptide B Beta (43-47) antigen; Platelet Poor Plasma
